Symbol,Ex_Date,Pre_Drop_Price,Dividend_Amount,Yield_Percent,Volume_On_ExDate,TARGET_Recovery_Days
360ONE,2019-10-31,267.71,2.5,0.93,165132.0,0
360ONE,2020-01-29,268.66,2.5,0.93,24232.0,1
360ONE,2020-08-26,236.26,10.0,4.23,100268.0,0
360ONE,2021-02-11,261.84,7.5,2.86,257136.0,0
360ONE,2021-08-10,355.51,8.75,2.46,413536.0,6
360ONE,2021-11-03,355.17,5.0,1.41,92064.0,0
360ONE,2022-06-01,357.53,5.0,1.4,153368.0,0
360ONE,2022-08-01,386.56,3.75,0.97,149972.0,0
360ONE,2022-10-28,418.87,4.25,1.01,154812.0,0
360ONE,2023-01-30,440.78,4.25,0.96,231740.0,2
360ONE,2023-05-12,383.05,4.0,1.04,144530.0,0
360ONE,2023-07-28,492.09,4.0,0.81,97934.0,0
360ONE,2023-11-10,528.09,4.0,0.76,142699.0,0
360ONE,2024-01-29,614.43,4.5,0.73,899275.0,0
360ONE,2024-05-02,769.92,3.5,0.45,530029.0,1
360ONE,2024-08-07,980.66,2.5,0.25,607371.0,0
360ONE,2025-04-29,972.95,6.0,0.62,731964.0,0
360ONE,2025-10-27,1179.7,6.0,0.51,607697.0,23
3MINDIA,2022-11-21,22589.67,850.0,3.76,4007.0,0
3MINDIA,2023-07-26,27183.55,100.0,0.37,1568.0,3
3MINDIA,2024-07-05,38184.28,685.0,1.79,8303.0,1
3MINDIA,2025-07-25,31145.0,535.0,1.72,8420.0,0
ABB,2016-04-13,1187.96,3.7,0.31,56256.0,242
ABB,2017-04-28,1230.31,4.0,0.33,60493.0,0
ABB,2018-04-27,1176.98,4.4,0.37,74053.0,0
ABB,2019-04-26,1315.54,4.8,0.36,81370.0,3
ABB,2020-07-16,881.43,4.8,0.54,144234.0,0
ABB,2021-04-19,1341.57,5.0,0.37,177488.0,0
ABB,2022-04-27,2049.99,5.2,0.25,111258.0,0
ABB,2023-04-27,3346.82,5.5,0.16,327674.0,0
ABB,2023-08-25,4275.85,5.5,0.13,220479.0,3
ABB,2024-05-03,6596.72,23.8,0.36,337954.0,0
ABB,2024-08-23,7786.39,10.66,0.14,141683.0,2
ABB,2025-05-02,5478.52,33.5,0.61,203903.0,6
ABB,2025-08-08,5108.73,9.77,0.19,348746.0,7
ACC,2016-08-02,1533.31,11.0,0.72,158612.0,3
ACC,2017-03-16,1298.04,6.0,0.46,284330.0,0
ACC,2017-07-25,1582.95,11.0,0.69,338103.0,0
