Symbol,Ex_Date,Pre_Drop_Price,Dividend_Amount,Yield_Percent,Volume_On_ExDate,Price_Drop_Percent,Log_Price,Volatility_20d,Return_5d_Before,Volume_Ratio,Day_of_Week,Month,TARGET_Recovery_Days
360ONE,2019-10-31,267.71,2.5,0.93,165132.0,-2.0919,5.5899,0.02778,8.5363,1.496,3,10,0
360ONE,2020-01-29,268.66,2.5,0.93,24232.0,0.9885,5.5935,0.035627,-0.7228,0.4416,2,1,1
360ONE,2020-08-26,236.26,10.0,4.23,100268.0,-0.405,5.465,0.030976,0.9664,1.2729,2,8,0
360ONE,2021-02-11,261.84,7.5,2.86,257136.0,-4.5592,5.5677,0.020783,13.9528,0.9048,3,2,0
360ONE,2021-08-10,355.51,8.75,2.46,413536.0,0.4532,5.8735,0.047149,16.5306,0.3556,1,8,6
360ONE,2021-11-03,355.17,5.0,1.41,92064.0,-3.2165,5.8726,0.036687,0.2513,0.2894,2,11,0
360ONE,2022-06-01,357.53,5.0,1.4,153368.0,-2.1114,5.8792,0.03005,6.8595,1.0257,2,6,0
360ONE,2022-08-01,386.56,3.75,0.97,149972.0,-0.2173,5.9573,0.016727,1.7775,1.1587,0,8,0
360ONE,2022-10-28,418.87,4.25,1.01,154812.0,-1.4479,6.0376,0.023862,-0.7243,1.1127,4,10,0
360ONE,2023-01-30,440.78,4.25,0.96,231740.0,0.5177,6.0886,0.015627,-2.6401,0.7546,0,1,2
360ONE,2023-05-12,383.05,4.0,1.04,144530.0,-2.5445,5.9482,0.017353,-2.6576,0.2916,4,5,0
360ONE,2023-07-28,492.09,4.0,0.81,97934.0,-0.4523,6.1987,0.015584,-0.6687,0.3729,4,7,0
360ONE,2023-11-10,528.09,4.0,0.76,142699.0,-0.2123,6.2693,0.021081,2.7396,0.2574,4,11,0
360ONE,2024-01-29,614.43,4.5,0.73,899275.0,-1.3265,6.4207,0.020007,-1.9983,2.5589,0,1,0
360ONE,2024-05-02,769.92,3.5,0.45,530029.0,0.8327,6.6463,0.026821,-2.165,0.4521,3,5,1
360ONE,2024-08-07,980.66,2.5,0.25,607371.0,-0.9579,6.8882,0.031687,-12.1964,0.7591,2,8,0
360ONE,2025-04-29,972.95,6.0,0.62,731964.0,-0.5266,6.8803,0.044738,-2.9589,0.5026,1,4,0
360ONE,2025-10-27,1179.7,6.0,0.51,607697.0,0.5679,7.073,0.012205,1.7856,0.6993,0,10,23
3MINDIA,2022-11-21,22589.67,850.0,3.76,4007.0,-1.1613,10.0252,0.017579,-0.6847,0.9039,0,11,0
3MINDIA,2023-07-26,27183.55,100.0,0.37,1568.0,0.6482,10.2104,0.011871,1.1667,0.4402,2,7,3
